line_id,sku,line_name,capable,rate_kgph
12,280380,P21,0,1432.0
13,280380,P22,0,1356.0
0,280383,P09,1,716.0
1,280383,P10,0,635.0
2,280383,P11,0,770.0
3,280383,P12,1,608.0
4,280383,P13,0,748.0
5,280383,P14,1,689.0
6,280383,P15,0,630.0
7,280383,P16,0,800.0
8,280383,P17,0,1454.0
9,280383,P18,0,1486.0
10,280383,P19,0,1454.0
11,280383,P20,0,1475.0
12,280383,P21,0,1432.0
13,280383,P22,0,1356.0
0,280384,P09,1,716.0
1,280384,P10,0,635.0
2,280384,P11,0,770.0
3,280384,P12,1,608.0
4,280384,P13,0,748.0
